Contract;Side;Volume;Price
QAL Nov Future;S;-7;140.05
JF May Future;S;-7;110.31
QAL C97;S;0;678.9
QAL X0;B;4;502.25
JF Q80;S;-7;954.34
JF Feb Future;S;-3;455.72
QAL Nov Future;B;5;90.76
RT Jul Future;B;7;918.22
QAL Aug Future;B;6;651.72
JF A36;S;-6;794.98
RT L90;B;9;496.56
RT Feb Future;S;-6;73.87
JF Nov Future;S;-6;404.86
QAL L93;S;-1;506.58
RT Feb Future;S;-4;843.11
QAL I96;S;-10;188.73
QAL Mar Future;S;-2;599.77
RT X20;B;3;656.33
RT Aug Future;S;-9;0.34
QAL C79;S;-5;101.83
RT U51;S;-6;749.29
QAL K7;S;-1;329.04
JF X36;S;-2;251.85
RT P72;B;1;725.33
QAL U13;B;5;992.25
JF O29;B;9;2.16
QAL W79;B;7;763.43
JF N60;B;5;799.81
QAL Q58;S;-6;859.23
RT K39;S;-10;296.56
RT H12;S;-10;70.43
RT May Future;S;-7;808.53
RT V91;B;5;72.06
RT Sep Future;S;-9;609.24
RT Mar Future;S;-2;169.3
RT R78;B;3;254.04
QAL P48;B;8;293.06
RT P6;B;4;170.22
JF H52;S;-2;726.56
QAL Apr Future;S;-1;966.94
JF R47;S;-1;581.07
RT Aug Future;B;1;598.24
JF Mar Future;S;-8;891.43
RT Nov Future;B;8;310.19
JF C96;S;-10;131.18
QAL T6;B;5;760.52
QAL Sep Future;S;-10;38.42
JF Jan Future;S;-4;990.68
JF P44;S;-10;55.69
QAL N82;B;5;335.92
RT B55;S;-10;445.24
JF Sep Future;S;-8;642.92
JF Sep Future;B;5;490.46
QAL Oct Future;S;-7;238.69
RT J62;B;3;275.55
JF I79;S;-3;778.49
JF O13;B;5;528.77
QAL Dec Future;B;7;88.37
RT N56;B;6;310.95
QAL O2;B;4;907.86
RT Nov Future;S;-10;711.27
QAL Sep Future;S;-8;290.51
JF Jan Future;B;7;976.81
JF C22;S;-8;601.63
JF P68;S;-2;116.4
QAL I17;S;-2;244.06
RT X94;S;-4;792.11
RT R43;S;-9;895.52
JF Aug Future;S;-8;405.2
RT U13;S;-2;602.05
RT E74;S;-8;786.38
QAL E18;S;-4;782.15
QAL Sep Future;B;4;790.58
QAL Mar Future;S;-6;152.15
RT Aug Future;S;-5;634.67
RT A81;S;-6;629.29
JF T14;B;8;804.37
JF V34;S;-9;552.97
JF D42;B;5;918.63
QAL Sep Future;S;-9;477.21
QAL X35;B;7;279.99
JF T58;S;-4;690.64
JF O37;B;1;795.73
RT Aug Future;B;7;610.95
JF J13;S;-7;122.92
RT Mar Future;S;-1;546.83
JF Apr Future;S;-10;570.98
QAL T99;S;-5;144.84
RT Sep Future;S;-9;576.02
RT Mar Future;B;3;516.72
QAL I93;B;1;209.35
RT Q65;S;-5;100.26
QAL May Future;B;8;704.2
RT Jul Future;S;-5;756.31
JF F32;B;3;711.06
QAL E4;S;-1;641.09
QAL E77;B;2;589.21
